(h8 s4)
(h9 s5)
(h26 s4)
(h2 s4)
(h3 s2)
(h0 s8)
(h1 s7)
(h6 s7)
(h7 s3)
(h4 s5)
(h5 s4)
(h47 s5)
(h46 s1)
(h45 s8)
(h44 s3)
(h43 s2)
(h23 s6)
(h41 s4)
(h40 s0)
(h22 s8)
(h49 s9)
(h48 s2)
(s9 h19)
(s9 h29)
(s9 h28)
(s9 s3)
(s9 s6)
(s9 h16)
(s9 h17)
(s9 h10)
(s9 s4)
(s9 h49)
(s8 h18)
(s8 h0)
(s8 s7)
(s8 s6)
(s8 h22)
(s8 h33)
(s8 h45)
(s8 h31)
(s8 h42)
(s8 h38)
(s8 s1)
(h29 s9)
(h28 s9)
(s3 s9)
(s3 s2)
(s3 s0)
(s3 h7)
(s3 h20)
(s3 h44)
(s3 h37)
(s2 s3)
(s2 h3)
(s2 h12)
(s2 s0)
(s2 h15)
(s2 s4)
(s2 h32)
(s2 h43)
(s2 h48)
(s1 h25)
(s1 h46)
(s1 s8)
(s1 s6)
(s1 s5)
(s0 s3)
(s0 s2)
(s0 h40)
(s0 s5)
(s0 h35)
(s7 h13)
(s7 h21)
(s7 h1)
(s7 h6)
(s7 s5)
(s7 s4)
(s7 s8)
(s7 h36)
(s6 s9)
(s6 s8)
(s6 s1)
(s6 h14)
(s6 h23)
(s6 h39)
(s6 h27)
(s5 h9)
(s5 h11)
(s5 s1)
(s5 s0)
(s5 s7)
(s5 h4)
(s5 h47)
(s5 h34)
(s4 s9)
(s4 h2)
(s4 s2)
(s4 h26)
(s4 s7)
(s4 h8)
(s4 h5)
(s4 h30)
(s4 h41)
(s4 h24)
(h20 s3)
(h21 s7)
(h32 s2)
(h33 s8)
(h30 s4)
(h31 s8)
(h36 s7)
(h37 s3)
(h34 s5)
(h35 s0)
(h38 s8)
(h39 s6)
(h18 s8)
(h19 s9)
(h10 s9)
(h11 s5)
(h12 s2)
(h13 s7)
(h14 s6)
(h15 s2)
(h16 s9)
(h17 s9)
(h25 s1)
(h24 s4)
(h27 s6)
(h42 s8)
