(h40 h4 1)
(h25 h5 1)
(h27 h30 1)
(h28 h9 1)
(h30 h23 1)
(h37 h46 1)
(h44 h27 1)
(h42 h29 1)
(h28 h33 1)
(h45 h4 1)
(h24 h42 1)
(h36 h11 1)
(h16 h5 1)
(h34 h28 1)
(h26 h1 1)
(h30 h19 1)
(h49 h1 1)
(h9 h10 1)
(h46 h21 1)
(h17 h25 1)
(h5 h9 1)
(h36 h45 1)
(h33 h2 1)
(h42 h12 1)
(h22 h23 1)
(h28 h15 1)
(h41 h28 1)
(h14 h47 1)
(h31 h35 1)
(h20 h0 1)
(h18 h28 1)
(h20 h33 1)
(h22 h7 1)
(h24 h37 1)
(h24 h23 1)
(h43 h9 1)
(h31 h36 1)
(h20 h15 1)
(h35 h41 1)
(h4 h32 1)
(h13 h5 1)
(h19 h13 1)
(h39 h6 1)
(h13 h2 1)
(h27 h46 1)
(h2 h35 1)
(h35 h32 1)
(h26 h29 1)
(h7 h39 1)
(h16 h2 1)
(h49 h19 1)
(h14 h11 1)
(h8 h3 1)
(h16 h4 1)
(h23 h48 1)
(h23 h21 1)
(h31 h48 1)
(h3 h37 1)
(h0 h25 1)
(h24 h33 1)
(h18 h13 1)
(h21 h3 1)
(h35 h22 1)
(h5 h10 1)
(h47 h7 1)
(h18 h7 1)
(h49 h20 1)
(h43 h45 1)
(h10 h17 1)
(h44 h1 1)
(h12 h42 1)
(h35 h3 1)
(h43 h11 1)
(h0 h16 1)
(h7 h48 1)
(h33 h37 1)
(h37 h10 1)
(h29 h24 1)
(h39 h0 1)
(h25 h3 1)
(h47 h20 1)
(h3 h6 1)
(h41 h1 1)
(h24 h35 1)
(h30 h2 1)
(h7 h30 1)
(h5 h17 1)
(h38 h44 1)
(h23 h16 1)
(h34 h39 1)
(h45 h43 1)
(h40 h39 1)
(h39 h37 1)
(h39 h2 1)
(h24 h47 1)
(h28 h4 1)
(h44 h34 1)
(h15 h21 1)
(h46 h20 1)
(h38 h1 1)
