(h40 h4 1)
(h25 h5 1)
(h27 h30 1)
(h28 h9 1)
(h30 h23 1)
(h37 h46 1)
(h44 h27 1)
(h42 h29 1)
(h28 h33 1)
(h45 h4 1)
(h24 h42 1)
(h36 h11 1)
(h16 h5 1)
(h34 h28 1)
(h26 h1 1)
(h30 h19 1)
(h49 h1 1)
(h9 h10 1)
(h46 h21 1)
(h12 h32 1)
(h9 h1 1)
(h36 h45 1)
(h33 h2 1)
(h42 h12 1)
(h22 h23 1)
(h28 h15 1)
(h41 h28 1)
(h37 h2 1)
(h12 h17 1)
(h17 h31 1)
(h35 h20 1)
(h0 h16 1)
(h31 h43 1)
(h20 h35 1)
(h33 h22 1)
(h7 h24 1)
(h37 h24 1)
(h23 h43 1)
(h9 h31 1)
(h36 h20 1)
(h15 h35 1)
(h5 h43 1)
(h48 h42 1)
(h4 h22 1)
(h43 h26 1)
(h17 h13 1)
(h2 h27 1)
(h46 h2 1)
(h35 h45 1)
(h18 h10 1)
(h39 h16 1)
(h2 h49 1)
(h19 h14 1)
(h26 h20 1)
(h20 h45 1)
(h42 h17 1)
(h34 h15 1)
(h44 h31 1)
(h4 h3 1)
(h24 h33 1)
(h18 h13 1)
(h21 h3 1)
(h35 h22 1)
(h5 h10 1)
(h47 h7 1)
(h18 h7 1)
(h49 h20 1)
(h43 h45 1)
(h10 h17 1)
(h44 h1 1)
(h12 h42 1)
(h35 h3 1)
(h43 h11 1)
(h8 h32 1)
(h25 h28 1)
(h40 h49 1)
(h45 h26 1)
(h41 h39 1)
(h29 h39 1)
(h0 h25 1)
(h3 h47 1)
(h20 h3 1)
(h6 h41 1)
(h1 h24 1)
(h35 h7 1)
(h20 h19 1)
(h23 h1 1)
(h31 h27 1)
(h19 h24 1)
(h30 h31 1)
(h6 h31 1)
(h6 h39 1)
(h43 h40 1)
(h39 h22 1)
(h22 h3 1)
(h46 h45 1)
(h33 h10 1)
(h40 h38 1)
(h21 h5 1)
(h28 h46 1)
